Name,Handle,Creator Location,Follower Count,Engagement Rate,Avg Video Views,% Male Audience,% Female Audience,Top Audience Country 1,Top Audience Country 2,Top Audience Country 3,Content Category,Notes
Siempre 💖 San Antonio,siempre_sanantonio,United States of America,128160,7.57%,8113,24.63%,75.37%,United States of America (99.41%),Mexico (0.21%),Germany (0.04%),Fitness,
SAN ANTONIO | TEXAS,sanantoniofoodie,United States of America,585941,7.57%,79277,29.67%,70.33%,United States of America (99.27%),Mexico (0.24%),Germany (0.04%),N/A,
Melanie Demi | herboozytails,herboozytails,United States of America,809020,7.57%,166504,23.55%,76.45%,United States of America (98.75%),United Kingdom (0.12%),Canada (0.11%),N/A,
Hosting with Em,hostingwithem,United States of America,53883,7.57%,353091,27.79%,72.21%,United States of America (98.24%),United Kingdom (0.15%),Mexico (0.15%),N/A,
TEXAS TRAVEL,texas_explorer,United States of America,1215818,7.57%,266519,32.68%,67.32%,United States of America (99.22%),Mexico (0.29%),Puerto Rico (0.04%),N/A,
Rockey,rockey24bz,United States of America,82091,7.57%,30937,43.27%,56.73%,United States of America (98.97%),Nigeria (0.26%),Other (0.11%),Movies & TV,
LiveMoreTv,livemoretv,United States of America,519043,7.57%,89813,31.53%,68.47%,United States of America (99.43%),Nigeria (0.07%),Mexico (0.06%),Luxury Travel,
Jeremy Davis Ranes,jeremydavisranes,United States of America,80094,7.57%,139377,9.30%,90.70%,United States of America (99.55%),Nigeria (0.08%),Other (0.07%),N/A,
Yoel and Mari,yoelandmari,United States of America,443095,7.57%,61965,28.42%,71.58%,United States of America (97.97%),Puerto Rico (1.11%),Mexico (0.15%),"Family & Relationships, Mukbang & Tasting, Global Culture",
Leonardo Edwin,leo_edw,United States of America,676695,7.57%,894970,26.89%,73.11%,United States of America (77.85%),Indonesia (17.42%),Malaysia (0.96%),N/A,
Kayla✨,thedizkiki,United States of America,434969,7.57%,22589,13.28%,86.72%,United States of America (99.11%),Puerto Rico (0.11%),Mexico (0.11%),"Cosmetics & Makeup, Destination",
JG,jgbabyyyy,United States of America,100582,7.57%,24478,74.19%,25.81%,United States of America (99.06%),Nigeria (0.13%),Mexico (0.10%),"Destination, Scripted Comedy, Acting & Drama",
