unique id,TikTok Handle,Credit Score
1725757388105x534183512775877800,kendrawilsonn,6
1726285815736x292117056471620500,dajshaltaylorr,11
1726285815737x125782983637192210,gokrazy.dj,13
1726285815737x306484531832185860,rose_12477,11
1726285815737x751439652451118600,peachynanii,11
1726285815737x920153861811378700,ihearthayla,11
1726285815738x175249912353885100,1ndya.b,11
1726285815738x515920846977436100,angelshontay,12
1726285815738x574648169717412600,iislayeverything,12
1726285815738x869988489811737100,kaiyaleche,6
1726285815739x719619832566067000,channel_ash,5
1726285815741x363881503640290500,maxwellmarr,9
1726285815741x495413101336956700,baeyuanna,9
1726285815741x860888906865575800,luhhtalasia1,11
1726285815741x902951150901526700,maggielfowler,9
1726285815741x940919732509380700,demetrabambino,9
1726285815742x115837013433957250,___oliviarose_,9
1726285815742x168012796247015700,glowupadvice2,11
1726285815742x741489802599376400,sisidtm,9
1726285815742x899276547552431600,dollfitz,9
1726285815742x915175435717434400,stripforvicky,10
1726285815744x101075828798618860,miya.chantelle,10
1726285815744x119887637274634910,ggsololee,9
1726285815744x202379608817480740,lesbeanenergy,9
1726285815745x116113553311949060,irenehsuu,13
1726285815745x232342489685637400,thezainabnasser,9
1726285815745x561614830524804740,fairyjadyn,9
1726285815745x603773337849803100,jonaartorres,6
1726285815745x810367627550326400,thechristianbae,2
1726285815746x632579321078524900,ilovesteppa,2
1726285815746x973002555838633500,thisaintsarah,12
1726285815747x317715576695506600,jailanekendale,5
1726285815748x262869124574090180,sweetgirlfaithy,2
1726285815748x294100053858774800,kianabratdoll_,11
1726285815748x379614521369482400,leigoii,16
1726285815748x380850588486675300,imanisherese,2
1726285815748x958375592475544300,heavenly.torres,3
1726285815749x208589387488771870,kiara.red1,2
1726285815749x720526661791900800,leahlorrainee1,2
1726285815749x931005249112844000,jenni._.me,3
1726285815749x978471141684098300,lagocrazyyy,26
1726285815934x107620735509721390,gracie.h.o.u.s.e,42
1726285815934x306165550560927300,lashesandshears,2
1726285815934x485787602683264400,alexandralharaldsson,7
1726285815934x981767332514109800,lajackyjune,2
1726285815935x152021409735033630,tropical.iyah,2
1726285815935x164907837682966020,trellyandolga,2
1726285815935x326718929365861900,kendrawilsonn,5
1726285815935x463933973999858500,daniella_britt,0
1726285815935x604220603826632400,slaybymuna,2
1726285815936x903077539825683200,gabriellerozmarniewicz,2
1726285815937x777563937227271200,jadinmichai,2
1726893720373x263320321283914370,lawofwandering,3
1726893720374x126789475942420400,baronessofbliss,3
1726893720374x678858624988167800,goatbillyb,3
1726893720374x734127526561495300,rayvennnhambyyy,3
1726893720374x946548666775467000,travel_mo22,3
1726893720375x156558096019003840,trapkermit12,3
1726893720375x375326219826683800,therobertolague,4
1726893720375x380819178577627840,travelingwhileblk,3
1726893720375x465956923996362400,leslierdz3202,3
1726893720375x811514921900407700,freyanub,4
1726893720378x155882024934390620,speedthespartan,4
1726893720378x410793329056748700,jannehkonneh,4
1726893720378x431197100639294700,goldenjeter,4
1726893720378x476888083380881700,readysetpto,4
1726893720378x652323473333457800,anntheadventurer,4
1726893720379x175231204857480220,rae.abby,4
1726893720379x221698278752468160,theamandabittner,5
1726893720379x224236076503802050,alinazbv,5
1726893720379x275817012761625060,katbennettphoto,4
1726893720379x539848432155328800,brit_reynolds,4
1726893720381x201544694942057630,beastlyappetite,6
1726893720381x330774223848258050,disneydayydreamer,5
1726893720381x920331486964254200,thebernesemtnbear,5
1726979049862x413384457172547600,adventureanalisa,9
1726979049862x881256525971089200,_vale_1129,7
1726979049863x304551416764229100,aloha_cade,11
1726979049863x677634872916506000,brooklyneve_,8
1726979049864x421938938049517300,bryn.elise,8
1726979049865x748153342979010800,chrisandalex,9
1726979049866x206790765724564450,collegelifeshorts,15
1726979049866x423848591875728000,davidcastain,6
1726979049866x465667039783447230,claudymazetravels,4
1726979049866x538755615482626300,christineobanor,4
1726979049866x907087813554430100,cmaquarium,4
1726979049867x425399260067798000,eljoel_3,7
1726979049868x102242603522449950,herboozytails,5
1726979049868x492469882523089100,houstonmuseumns,7
1726979049868x518779953782645440,goobigubbi,7
1726979049868x687126540123418800,hostingwithem,4
1726979049868x705811876581165600,isabelandtamera,8
1726979049868x926382808396762500,imma_eat_this,6
1726979049869x179852272002349000,jgbabyyyy,3
1726979049869x998089872105526500,jeremydavisranes,3
1726979049870x116539054815524060,jimmydarts,33
1726979049870x134066320647710400,kendallrobin.sonn,9
1726979049870x279875994730916830,k.hyli,3
1726979049871x204298028880053120,lifeofreyhauna,2
1726979049871x383418179245567300,leo_edw,5
1726979049871x437342417201964200,lilmsawkward,5
1726979049871x748777515649769100,livemoretv,4
1726979050029x274220109562589340,mountainalice,3
1726979050029x415108102975880770,menecisandbrody,13
1726979050029x634526154627806200,moeblackx,8
1726979050029x896456614169073800,mercilesssavagez,7
1726979050030x283732256331597820,mypacificlife,3
1726979050030x613230409683884700,once.upon.a.tory,8
1726979050030x622266181548130100,pictureperfectluis,6
1726979050030x705713716437965700,natalientheaguilars,23
1726979050032x184254940463832960,sanantoniofoodie,4
1726979050032x194256005508121500,realdanregan,3
1726979050032x743887831057276900,rockey24bz,3
1726979050032x902122617069954600,reneerapp,13
1726979050032x989676287454346100,secret.losangeles,3
1726979050033x177902740603976160,siempre_sanantonio,3
1726979050033x278459633451744000,sophiethevagabond,9
1726979050033x541778248155733200,shaleewanders,9
1726979050033x805102039655219300,skittles_tastetherainbow,5
1726979050034x504091686841510600,sweetlikeoyin,5
1726979050034x507750377224583940,stlguide314,4
1726979050035x238464718913113950,texas_explorer,5
1726979050035x604949246030261200,thejulianbass,9
1726979050035x689416848374704300,tallzz_,7
1726979050035x781208369546449300,thedizkiki,4
1726979050041x349469817126176500,travelbyram,4
1726979050041x723063163641781600,travel.w.lex,7
1726979050042x379816630951457200,travelingwithsamantha,4
1726979050042x414096610233663400,yoelandmari,5
1726979050042x626049839588734800,turbo_bunny,4
1726979050042x707647098617479000,tyler_rey,5
1726979050042x984390367487507000,wallyfromthemart,9
1726979050265x980010437499942500,yogirl_rin,6
1727039832094x400070873117452000,killforbri,10
1727039832094x744767051443532500,plantbasedbirdgirl,11
1727039832095x140626678539314660,daniyourrmami,9
1727039832095x554866235139088260,linaxcharleigh,9
1727039832095x836521773104563300,biggeminipt2_,5
1727039832095x952982164377518200,_xforbreakfast_,6
1727039832095x981558203552801400,samlbryant1,9
1727039832096x768897646952905600,creationofuni,9
1727039832096x879409881748832500,officialmstokes,9
1727039832096x999231320913090300,withloverian,9
1727039832097x600614552831465200,justiceamourr,10
1727039832098x113143662656680640,cynthia_lifts,6
1727039832098x305724836414527550,itsdelayna,14
1727039832098x383107680152211800,glennydevvyy,12
1727039832098x509187478925853700,finewine39,8
1727039832098x658161202299233400,jaydamoeneee,10
1727039832099x407580789971341950,ariesicarus,10
1727039832099x780116787434514300,leci.bby,10
1727039832099x837177919918393300,spicytoes,10
1727039832099x989977144386370600,nayaaford,12
1727039832100x432653112964846100,travissosa11,3
1727039832100x727246833227077600,kararoselles,10
1727039832100x893246911592070300,stlilithh,9
1727039832101x273718891840457380,.theyluvvaii,10
